year	lakeid	secchi.m	secchi_source
1979	200	0.341225	satellite mean
1980	200	0.341225	satellite mean
1981	200	0.341225	satellite mean
1982	200	0.341225	satellite mean
1983	200	0.341225	satellite mean
1984	200	0.341225	satellite mean
1985	200	0.341225	satellite mean
1986	200	0.341225	satellite mean
1987	200	0.341225	satellite mean
1988	200	0.341225	satellite mean
1989	200	0.341225	satellite mean
1990	200	0.341225	satellite mean
1991	200	0.341225	satellite mean
1992	200	0.341225	satellite mean
1993	200	0.341225	satellite mean
1994	200	0.341225	satellite mean
1995	200	0.341225	satellite mean
1996	200	0.341225	satellite mean
1997	200	0.341225	satellite mean
1998	200	0.341225	satellite mean
1999	200	0.341225	satellite mean
2000	200	0.341225	satellite mean
2001	200	0.341225	satellite mean
2002	200	0.341225	satellite mean
2003	200	0.341225	satellite mean
2004	200	0.341225	satellite mean
2005	200	0.341225	satellite mean
2006	200	0.341225	satellite mean
2007	200	0.341225	satellite mean
2008	200	0.341225	satellite mean
2009	200	0.341225	satellite mean
2010	200	0.341225	satellite mean
2011	200	0.341225	satellite mean
2012	200	0.341225	satellite mean
1979	400	2.64265	satellite mean
1980	400	2.64265	satellite mean
1981	400	2.64265	satellite mean
1982	400	2.64265	satellite mean
1983	400	2.64265	satellite mean
1984	400	2.64265	satellite mean
1985	400	2.64265	satellite mean
1986	400	2.64265	satellite mean
1987	400	2.64265	satellite mean
1988	400	2.64265	satellite mean
1989	400	2.64265	satellite mean
1990	400	2.64265	satellite mean
1991	400	2.64265	satellite mean
1992	400	2.64265	satellite mean
1993	400	2.64265	satellite mean
1994	400	2.64265	satellite mean
1995	400	2.64265	satellite mean
1996	400	2.64265	satellite mean
1997	400	2.64265	satellite mean
1998	400	2.64265	satellite mean
1999	400	2.64265	satellite mean
2000	400	2.64265	satellite mean
2001	400	2.64265	satellite mean
2002	400	2.64265	satellite mean
2003	400	2.64265	satellite mean
2004	400	2.64265	satellite mean
2005	400	2.64265	satellite mean
2006	400	2.64265	satellite mean
2007	400	2.64265	satellite mean
2008	400	2.64265	satellite mean
2009	400	2.64265	satellite mean
2010	400	2.64265	satellite mean
2011	400	2.64265	satellite mean
2012	400	2.64265	satellite mean
1979	6100	1.547058974	in-situ mean
1980	6100	1.547058974	in-situ mean
1981	6100	0.717692308	in-situ
1982	6100	1.547058974	in-situ mean
1983	6100	1.547058974	in-situ mean
1984	6100	1.547058974	in-situ mean
1985	6100	1.547058974	in-situ mean
1986	6100	1.547058974	in-situ mean
1987	6100	1.547058974	in-situ mean
1988	6100	1.547058974	in-situ mean
1989	6100	1.547058974	in-situ mean
1990	6100	1.547058974	in-situ mean
1991	6100	1.547058974	in-situ mean
1992	6100	2.516666667	in-situ
1993	6100	3.0734	in-situ
1994	6100	2.30124	in-situ
1995	6100	2.02692	in-situ
1996	6100	1.64592	in-situ
1997	6100	1.26492	in-situ
1998	6100	1.61544	in-situ
1999	6100	0.67056	in-situ
2000	6100	0.8001	in-situ
2001	6100	1.05156	in-situ
2002	6100	1.524	in-situ
2003	6100	1.9812	in-situ
2004	6100	1.84404	in-situ
2005	6100	1.84404	in-situ
2006	6100	1.547058974	in-situ mean
2007	6100	1.547058974	in-situ mean
2008	6100	1.547058974	in-situ mean
2009	6100	1.547058974	in-situ mean
2010	6100	1.547058974	in-situ mean
2011	6100	1.547058974	in-situ mean
2012	6100	1.547058974	in-situ mean
1979	7100	1.655572135	in-situ mean
1980	7100	1.655572135	in-situ mean
1981	7100	1.655572135	in-situ mean
1982	7100	1.655572135	in-situ mean
1983	7100	1.655572135	in-situ mean
1984	7100	1.655572135	in-situ mean
1985	7100	1.655572135	in-situ mean
1986	7100	1.655572135	in-situ mean
1987	7100	1.655572135	in-situ mean
1988	7100	1.655572135	in-situ mean
1989	7100	1.655572135	in-situ mean
1990	7100	1.655572135	in-situ mean
1991	7100	1.655572135	in-situ mean
1992	7100	1.655572135	in-situ mean
1993	7100	1.655572135	in-situ mean
1994	7100	1.588008	in-situ
1995	7100	1.808018182	in-situ
1996	7100	1.7173	in-situ
1997	7100	1.41732	in-situ
1998	7100	1.306285714	in-situ
1999	7100	1.385047059	in-situ
2000	7100	1.4224	in-situ
2001	7100	1.152525	in-situ
2002	7100	1.911927273	in-situ
2003	7100	1.6383	in-situ
2004	7100	1.3716	in-situ
2005	7100	1.576753846	in-situ
2006	7100	2.130552	in-situ
2007	7100	2.028825	in-situ
2008	7100	1.175657143	in-situ
2009	7100	2.048933333	in-situ
2010	7100	1.83388	in-situ
2011	7100	1.524	in-situ
2012	7100	2.116666667	in-situ
1979	8000	1.1643	in-situ mean
1980	8000	1.1643	in-situ mean
1981	8000	1.1643	in-situ mean
1982	8000	1.1643	in-situ mean
1983	8000	1.1643	in-situ mean
1984	8000	1.1643	in-situ mean
1985	8000	0.85	in-situ
1986	8000	1.1643	in-situ mean
1987	8000	1.1643	in-situ mean
1988	8000	1.1643	in-situ mean
1989	8000	1.1643	in-situ mean
1990	8000	1.1643	in-situ mean
1991	8000	1.1643	in-situ mean
1992	8000	1.1643	in-situ mean
1993	8000	1.1643	in-situ mean
1994	8000	1.1643	in-situ mean
1995	8000	1.1643	in-situ mean
1996	8000	1.1643	in-situ mean
1997	8000	1.1643	in-situ mean
1998	8000	1.1643	in-situ mean
1999	8000	1.1643	in-situ mean
2000	8000	1.1643	in-situ mean
2001	8000	1.1643	in-situ mean
2002	8000	1.1643	in-situ mean
2003	8000	1.1643	in-situ mean
2004	8000	1.1643	in-situ mean
2005	8000	1.1643	in-situ mean
2006	8000	1.1643	in-situ mean
2007	8000	1.1643	in-situ mean
2008	8000	1.1643	in-situ mean
2009	8000	1.1643	in-situ mean
2010	8000	1.1643	in-situ mean
2011	8000	0.9144	in-situ
2012	8000	1.1643	in-situ mean
1979	8300	1.0561	satellite mean
1980	8300	1.0561	satellite mean
1981	8300	1.0561	satellite mean
1982	8300	1.0561	satellite mean
1983	8300	1.0561	satellite mean
1984	8300	1.0561	satellite mean
1985	8300	1.0561	satellite mean
1986	8300	1.0561	satellite mean
1987	8300	1.0561	satellite mean
1988	8300	1.0561	satellite mean
1989	8300	1.0561	satellite mean
1990	8300	1.0561	satellite mean
1991	8300	1.0561	satellite mean
1992	8300	1.0561	satellite mean
1993	8300	1.0561	satellite mean
1994	8300	1.0561	satellite mean
1995	8300	1.0561	satellite mean
1996	8300	1.0561	satellite mean
1997	8300	1.0561	satellite mean
1998	8300	1.0561	satellite mean
1999	8300	1.0561	satellite mean
2000	8300	1.0561	satellite mean
2001	8300	1.0561	satellite mean
2002	8300	1.0561	satellite mean
2003	8300	1.0561	satellite mean
2004	8300	1.0561	satellite mean
2005	8300	1.0561	satellite mean
2006	8300	1.0561	satellite mean
2007	8300	1.0561	satellite mean
2008	8300	1.0561	satellite mean
2009	8300	1.0561	satellite mean
2010	8300	1.0561	satellite mean
2011	8300	1.0561	satellite mean
2012	8300	1.0561	satellite mean
1979	8600	2.46566	global mean
1980	8600	2.46566	global mean
1981	8600	2.46566	global mean
1982	8600	2.46566	global mean
1983	8600	2.46566	global mean
1984	8600	2.46566	global mean
1985	8600	2.46566	global mean
1986	8600	2.46566	global mean
1987	8600	2.46566	global mean
1988	8600	2.46566	global mean
1989	8600	2.46566	global mean
1990	8600	2.46566	global mean
1991	8600	2.46566	global mean
1992	8600	2.46566	global mean
1993	8600	2.46566	global mean
1994	8600	2.46566	global mean
1995	8600	2.46566	global mean
1996	8600	2.46566	global mean
1997	8600	2.46566	global mean
1998	8600	2.46566	global mean
1999	8600	2.46566	global mean
2000	8600	2.46566	global mean
2001	8600	2.46566	global mean
2002	8600	2.46566	global mean
2003	8600	2.46566	global mean
2004	8600	2.46566	global mean
2005	8600	2.46566	global mean
2006	8600	2.46566	global mean
2007	8600	2.46566	global mean
2008	8600	2.46566	global mean
2009	8600	2.46566	global mean
2010	8600	2.46566	global mean
2011	8600	2.46566	global mean
2012	8600	2.46566	global mean
1979	8900	4.368035269	in-situ mean
1980	8900	4.368035269	in-situ mean
1981	8900	4.368035269	in-situ mean
1982	8900	4.368035269	in-situ mean
1983	8900	4.368035269	in-situ mean
1984	8900	4.368035269	in-situ mean
1985	8900	4.368035269	in-situ mean
1986	8900	4.02844	in-situ
1987	8900	3.684814286	in-situ
1988	8900	3.2512	in-situ
1989	8900	3.325090909	in-situ
1990	8900	4.105275	in-situ
1991	8900	4.4958	in-situ
1992	8900	4.247949474	in-situ
1993	8900	4.8006	in-situ
1994	8900	3.975847059	in-situ
1995	8900	4.613030769	in-situ
1996	8900	4.5634275	in-situ
1997	8900	5.16636	in-situ
1998	8900	4.492486957	in-situ
1999	8900	5.6769	in-situ
2000	8900	5.20192	in-situ
2001	8900	4.506685714	in-situ
2002	8900	5.12445	in-situ
2003	8900	3.68808	in-situ
2004	8900	4.368035269	in-situ mean
2005	8900	4.368035269	in-situ mean
2006	8900	4.368035269	in-situ mean
2007	8900	4.368035269	in-situ mean
2008	8900	4.368035269	in-situ mean
2009	8900	4.6101	in-situ
2010	8900	4.8006	in-situ
2011	8900	3.420533333	in-situ
2012	8900	3.331028571	in-situ
1979	9400	2.46566	global mean
1980	9400	2.46566	global mean
1981	9400	2.46566	global mean
1982	9400	2.46566	global mean
1983	9400	2.46566	global mean
1984	9400	2.46566	global mean
1985	9400	2.46566	global mean
1986	9400	2.46566	global mean
1987	9400	2.46566	global mean
1988	9400	2.46566	global mean
1989	9400	2.46566	global mean
1990	9400	2.46566	global mean
1991	9400	2.46566	global mean
1992	9400	2.46566	global mean
1993	9400	2.46566	global mean
1994	9400	2.46566	global mean
1995	9400	2.46566	global mean
1996	9400	2.46566	global mean
1997	9400	2.46566	global mean
1998	9400	2.46566	global mean
1999	9400	2.46566	global mean
2000	9400	2.46566	global mean
2001	9400	2.46566	global mean
2002	9400	2.46566	global mean
2003	9400	2.46566	global mean
2004	9400	2.46566	global mean
2005	9400	2.46566	global mean
2006	9400	2.46566	global mean
2007	9400	2.46566	global mean
2008	9400	2.46566	global mean
2009	9400	2.46566	global mean
2010	9400	2.46566	global mean
2011	9400	2.46566	global mean
2012	9400	2.46566	global mean
1979	9700	0.7125	in-situ mean
1980	9700	0.7125	in-situ mean
1981	9700	0.405	in-situ
1982	9700	0.7125	in-situ mean
1983	9700	0.7125	in-situ mean
1984	9700	0.7125	in-situ mean
1985	9700	0.7125	in-situ mean
1986	9700	0.7125	in-situ mean
1987	9700	0.7125	in-situ mean
1988	9700	0.7125	in-situ mean
1989	9700	0.7125	in-situ mean
1990	9700	0.7125	in-situ mean
1991	9700	0.7125	in-situ mean
1992	9700	1.225	in-situ
1993	9700	0.7125	in-situ mean
1994	9700	0.7125	in-situ mean
1995	9700	0.7125	in-situ mean
1996	9700	0.7125	in-situ mean
1997	9700	0.7125	in-situ mean
1998	9700	0.7125	in-situ mean
1999	9700	0.7125	in-situ mean
2000	9700	0.7125	in-situ mean
2001	9700	0.7125	in-situ mean
2002	9700	0.7125	in-situ mean
2003	9700	0.7125	in-situ mean
2004	9700	0.7125	in-situ mean
2005	9700	0.7125	in-situ mean
2006	9700	0.7125	in-situ mean
2007	9700	0.7125	in-situ mean
2008	9700	0.7125	in-situ mean
2009	9700	0.7125	in-situ mean
2010	9700	0.7125	in-situ mean
2011	9700	0.7125	in-situ mean
2012	9700	0.7125	in-situ mean
1979	9800	2.46566	global mean
1980	9800	2.46566	global mean
1981	9800	2.46566	global mean
1982	9800	2.46566	global mean
1983	9800	2.46566	global mean
1984	9800	2.46566	global mean
1985	9800	2.46566	global mean
1986	9800	2.46566	global mean
1987	9800	2.46566	global mean
1988	9800	2.46566	global mean
1989	9800	2.46566	global mean
1990	9800	2.46566	global mean
1991	9800	2.46566	global mean
1992	9800	2.46566	global mean
1993	9800	2.46566	global mean
1994	9800	2.46566	global mean
1995	9800	2.46566	global mean
1996	9800	2.46566	global mean
1997	9800	2.46566	global mean
1998	9800	2.46566	global mean
1999	9800	2.46566	global mean
2000	9800	2.46566	global mean
2001	9800	2.46566	global mean
2002	9800	2.46566	global mean
2003	9800	2.46566	global mean
2004	9800	2.46566	global mean
2005	9800	2.46566	global mean
2006	9800	2.46566	global mean
2007	9800	2.46566	global mean
2008	9800	2.46566	global mean
2009	9800	2.46566	global mean
2010	9800	2.46566	global mean
2011	9800	2.46566	global mean
2012	9800	2.46566	global mean
1979	10000	1	satellite mean
1980	10000	1	satellite mean
1981	10000	1	satellite mean
1982	10000	1	satellite mean
1983	10000	1	satellite mean
1984	10000	1	satellite mean
1985	10000	1	satellite mean
1986	10000	1	satellite mean
1987	10000	1	satellite mean
1988	10000	1	satellite mean
1989	10000	1	satellite mean
1990	10000	1	satellite mean
1991	10000	1	satellite mean
1992	10000	1	satellite mean
1993	10000	1	satellite mean
1994	10000	1	satellite mean
1995	10000	1	satellite mean
1996	10000	1	satellite mean
1997	10000	1	satellite mean
1998	10000	1	satellite mean
1999	10000	1	satellite mean
2000	10000	1	satellite mean
2001	10000	1	satellite mean
2002	10000	1	satellite mean
2003	10000	1	satellite mean
2004	10000	1	satellite mean
2005	10000	1	satellite mean
2006	10000	1	satellite mean
2007	10000	1	satellite mean
2008	10000	1	satellite mean
2009	10000	1	satellite mean
2010	10000	1	satellite mean
2011	10000	1	satellite mean
2012	10000	1	satellite mean
1979	10300	5	satellite mean
1980	10300	5	satellite mean
1981	10300	5	satellite mean
1982	10300	5	satellite mean
1983	10300	5	satellite mean
1984	10300	5	satellite mean
1985	10300	5	satellite mean
1986	10300	5	satellite mean
1987	10300	5	satellite mean
1988	10300	5	satellite mean
1989	10300	5	satellite mean
1990	10300	5	satellite mean
1991	10300	5	satellite mean
1992	10300	5	satellite mean
1993	10300	5	satellite mean
1994	10300	5	satellite mean
1995	10300	5	satellite mean
1996	10300	5	satellite mean
1997	10300	5	satellite mean
1998	10300	5	satellite mean
1999	10300	5	satellite mean
2000	10300	5	satellite mean
2001	10300	5	satellite mean
2002	10300	5	satellite mean
2003	10300	5	satellite mean
2004	10300	5	satellite mean
2005	10300	5	satellite mean
2006	10300	5	satellite mean
2007	10300	5	satellite mean
2008	10300	5	satellite mean
2009	10300	5	satellite mean
2010	10300	5	satellite mean
2011	10300	5	satellite mean
2012	10300	5	satellite mean
1979	10500	0.846315789	in-situ mean
1980	10500	0.846315789	in-situ mean
1981	10500	0.556153846	in-situ
1982	10500	0.846315789	in-situ mean
1983	10500	0.846315789	in-situ mean
1984	10500	0.846315789	in-situ mean
1985	10500	0.846315789	in-situ mean
1986	10500	0.846315789	in-situ mean
1987	10500	0.846315789	in-situ mean
1988	10500	0.846315789	in-situ mean
1989	10500	0.846315789	in-situ mean
1990	10500	0.846315789	in-situ mean
1991	10500	0.846315789	in-situ mean
1992	10500	1.475	in-situ
1993	10500	0.846315789	in-situ mean
1994	10500	0.846315789	in-situ mean
1995	10500	0.846315789	in-situ mean
1996	10500	0.846315789	in-situ mean
1997	10500	0.846315789	in-situ mean
1998	10500	0.846315789	in-situ mean
1999	10500	0.846315789	in-situ mean
2000	10500	0.846315789	in-situ mean
2001	10500	0.846315789	in-situ mean
2002	10500	0.846315789	in-situ mean
2003	10500	0.846315789	in-situ mean
2004	10500	0.846315789	in-situ mean
2005	10500	0.846315789	in-situ mean
2006	10500	0.846315789	in-situ mean
2007	10500	0.846315789	in-situ mean
2008	10500	0.846315789	in-situ mean
2009	10500	0.846315789	in-situ mean
2010	10500	0.846315789	in-situ mean
2011	10500	0.846315789	in-situ mean
2012	10500	0.846315789	in-situ mean
1979	11500	2.46566	global mean
1980	11500	2.46566	global mean
1981	11500	2.46566	global mean
1982	11500	2.46566	global mean
1983	11500	2.46566	global mean
1984	11500	2.46566	global mean
1985	11500	2.46566	global mean
1986	11500	2.46566	global mean
1987	11500	2.46566	global mean
1988	11500	2.46566	global mean
1989	11500	2.46566	global mean
1990	11500	2.46566	global mean
1991	11500	2.46566	global mean
1992	11500	2.46566	global mean
1993	11500	2.46566	global mean
1994	11500	2.46566	global mean
1995	11500	2.46566	global mean
1996	11500	2.46566	global mean
1997	11500	2.46566	global mean
1998	11500	2.46566	global mean
1999	11500	2.46566	global mean
2000	11500	2.46566	global mean
2001	11500	2.46566	global mean
2002	11500	2.46566	global mean
2003	11500	2.46566	global mean
2004	11500	2.46566	global mean
2005	11500	2.46566	global mean
2006	11500	2.46566	global mean
2007	11500	2.46566	global mean
2008	11500	2.46566	global mean
2009	11500	2.46566	global mean
2010	11500	2.46566	global mean
2011	11500	2.46566	global mean
2012	11500	2.46566	global mean
1979	11700	2.46566	global mean
1980	11700	2.46566	global mean
1981	11700	2.46566	global mean
1982	11700	2.46566	global mean
1983	11700	2.46566	global mean
1984	11700	2.46566	global mean
1985	11700	2.46566	global mean
1986	11700	2.46566	global mean
1987	11700	2.46566	global mean
1988	11700	2.46566	global mean
1989	11700	2.46566	global mean
1990	11700	2.46566	global mean
1991	11700	2.46566	global mean
1992	11700	2.46566	global mean
1993	11700	2.46566	global mean
1994	11700	2.46566	global mean
1995	11700	2.46566	global mean
1996	11700	2.46566	global mean
1997	11700	2.46566	global mean
1998	11700	2.46566	global mean
1999	11700	2.46566	global mean
2000	11700	2.46566	global mean
2001	11700	2.46566	global mean
2002	11700	2.46566	global mean
2003	11700	2.46566	global mean
2004	11700	2.46566	global mean
2005	11700	2.46566	global mean
2006	11700	2.46566	global mean
2007	11700	2.46566	global mean
2008	11700	2.46566	global mean
2009	11700	2.46566	global mean
2010	11700	2.46566	global mean
2011	11700	2.46566	global mean
2012	11700	2.46566	global mean
1979	11900	0.222691	satellite mean
1980	11900	0.222691	satellite mean
1981	11900	0.222691	satellite mean
1982	11900	0.222691	satellite mean
1983	11900	0.222691	satellite mean
1984	11900	0.222691	satellite mean
1985	11900	0.222691	satellite mean
1986	11900	0.222691	satellite mean
1987	11900	0.222691	satellite mean
1988	11900	0.222691	satellite mean
1989	11900	0.222691	satellite mean
1990	11900	0.222691	satellite mean
1991	11900	0.222691	satellite mean
1992	11900	0.222691	satellite mean
1993	11900	0.222691	satellite mean
1994	11900	0.222691	satellite mean
1995	11900	0.222691	satellite mean
1996	11900	0.222691	satellite mean
1997	11900	0.222691	satellite mean
1998	11900	0.222691	satellite mean
1999	11900	0.222691	satellite mean
2000	11900	0.222691	satellite mean
2001	11900	0.222691	satellite mean
2002	11900	0.222691	satellite mean
2003	11900	0.222691	satellite mean
2004	11900	0.222691	satellite mean
2005	11900	0.222691	satellite mean
2006	11900	0.222691	satellite mean
2007	11900	0.222691	satellite mean
2008	11900	0.222691	satellite mean
2009	11900	0.222691	satellite mean
2010	11900	0.222691	satellite mean
2011	11900	0.222691	satellite mean
2012	11900	0.222691	satellite mean
1979	14400	1.507692308	in-situ mean
1980	14400	1.507692308	in-situ mean
1981	14400	1.507692308	in-situ
1982	14400	1.507692308	in-situ mean
1983	14400	1.507692308	in-situ mean
1984	14400	1.507692308	in-situ mean
1985	14400	1.507692308	in-situ mean
1986	14400	1.507692308	in-situ mean
1987	14400	1.507692308	in-situ mean
1988	14400	1.507692308	in-situ mean
1989	14400	1.507692308	in-situ mean
1990	14400	1.507692308	in-situ mean
1991	14400	1.507692308	in-situ mean
1992	14400	1.507692308	in-situ mean
1993	14400	1.507692308	in-situ mean
1994	14400	1.507692308	in-situ mean
1995	14400	1.507692308	in-situ mean
1996	14400	1.507692308	in-situ mean
1997	14400	1.507692308	in-situ mean
1998	14400	1.507692308	in-situ mean
1999	14400	1.507692308	in-situ mean
2000	14400	1.507692308	in-situ mean
2001	14400	1.507692308	in-situ mean
2002	14400	1.507692308	in-situ mean
2003	14400	1.507692308	in-situ mean
2004	14400	1.507692308	in-situ mean
2005	14400	1.507692308	in-situ mean
2006	14400	1.507692308	in-situ mean
2007	14400	1.507692308	in-situ mean
2008	14400	1.507692308	in-situ mean
2009	14400	1.507692308	in-situ mean
2010	14400	1.507692308	in-situ mean
2011	14400	1.507692308	in-situ mean
2012	14400	1.507692308	in-situ mean
1979	15500	0.4	in-situ mean
1980	15500	0.4	in-situ mean
1981	15500	0.4	in-situ mean
1982	15500	0.4	in-situ mean
1983	15500	0.4	in-situ mean
1984	15500	0.4	in-situ mean
1985	15500	0.4	in-situ mean
1986	15500	0.4	in-situ mean
1987	15500	0.4	in-situ mean
1988	15500	0.4	in-situ mean
1989	15500	0.4	in-situ mean
1990	15500	0.4	in-situ mean
1991	15500	0.4	in-situ mean
1992	15500	0.4	in-situ mean
1993	15500	0.4	in-situ mean
1994	15500	0.4	in-situ mean
1995	15500	0.4	in-situ mean
1996	15500	0.4	in-situ mean
1997	15500	0.4	in-situ mean
1998	15500	0.4	in-situ mean
1999	15500	0.4	in-situ mean
2000	15500	0.4	in-situ mean
2001	15500	0.4	in-situ mean
2002	15500	0.4	in-situ mean
2003	15500	0.4	in-situ mean
2004	15500	0.4	in-situ mean
2005	15500	0.4	in-situ mean
2006	15500	0.4	in-situ mean
2007	15500	0.4	in-situ mean
2008	15500	0.4	in-situ mean
2009	15500	0.4	in-situ mean
2010	15500	0.4	in-situ mean
2011	15500	0.4	in-situ mean
2012	15500	0.4	in-situ
1979	16600	1	satellite mean
1980	16600	1	satellite mean
1981	16600	1	satellite mean
1982	16600	1	satellite mean
1983	16600	1	satellite mean
1984	16600	1	satellite mean
1985	16600	1	satellite mean
1986	16600	1	satellite mean
1987	16600	1	satellite mean
1988	16600	1	satellite mean
1989	16600	1	satellite mean
1990	16600	1	satellite mean
1991	16600	1	satellite mean
1992	16600	1	satellite mean
1993	16600	1	satellite mean
1994	16600	1	satellite mean
1995	16600	1	satellite mean
1996	16600	1	satellite mean
1997	16600	1	satellite mean
1998	16600	1	satellite mean
1999	16600	1	satellite mean
2000	16600	1	satellite mean
2001	16600	1	satellite mean
2002	16600	1	satellite mean
2003	16600	1	satellite mean
2004	16600	1	satellite mean
2005	16600	1	satellite mean
2006	16600	1	satellite mean
2007	16600	1	satellite mean
2008	16600	1	satellite mean
2009	16600	1	satellite mean
2010	16600	1	satellite mean
2011	16600	1	satellite mean
2012	16600	1	satellite mean
1979	19900	1.9225	in-situ mean
1980	19900	1.9225	in-situ mean
1981	19900	0.834615385	in-situ
1982	19900	1.9225	in-situ mean
1983	19900	1.9225	in-situ mean
1984	19900	1.9225	in-situ mean
1985	19900	1.9225	in-situ mean
1986	19900	1.9225	in-situ mean
1987	19900	1.9225	in-situ mean
1988	19900	1.9225	in-situ mean
1989	19900	1.9225	in-situ mean
1990	19900	1.9225	in-situ mean
1991	19900	1.9225	in-situ mean
1992	19900	3.942857143	in-situ
1993	19900	1.9225	in-situ mean
1994	19900	1.9225	in-situ mean
1995	19900	1.9225	in-situ mean
1996	19900	1.9225	in-situ mean
1997	19900	1.9225	in-situ mean
1998	19900	1.9225	in-situ mean
1999	19900	1.9225	in-situ mean
2000	19900	1.9225	in-situ mean
2001	19900	1.9225	in-situ mean
2002	19900	1.9225	in-situ mean
2003	19900	1.9225	in-situ mean
2004	19900	1.9225	in-situ mean
2005	19900	1.9225	in-situ mean
2006	19900	1.9225	in-situ mean
2007	19900	1.9225	in-situ mean
2008	19900	1.9225	in-situ mean
2009	19900	1.9225	in-situ mean
2010	19900	1.9225	in-situ mean
2011	19900	1.9225	in-situ mean
2012	19900	1.9225	in-situ mean
1979	22100	0.82296	in-situ mean
1980	22100	0.82296	in-situ mean
1981	22100	0.82296	in-situ mean
1982	22100	0.82296	in-situ mean
1983	22100	0.82296	in-situ mean
1984	22100	0.82296	in-situ mean
1985	22100	0.82296	in-situ mean
1986	22100	0.82296	in-situ mean
1987	22100	0.82296	in-situ mean
1988	22100	0.82296	in-situ mean
1989	22100	0.82296	in-situ mean
1990	22100	0.82296	in-situ mean
1991	22100	0.82296	in-situ mean
1992	22100	0.82296	in-situ mean
1993	22100	0.82296	in-situ mean
1994	22100	0.82296	in-situ mean
1995	22100	0.82296	in-situ mean
1996	22100	0.82296	in-situ mean
1997	22100	0.82296	in-situ mean
1998	22100	0.82296	in-situ mean
1999	22100	0.82296	in-situ mean
2000	22100	0.82296	in-situ mean
2001	22100	0.82296	in-situ mean
2002	22100	0.82296	in-situ mean
2003	22100	0.82296	in-situ mean
2004	22100	0.82296	in-situ mean
2005	22100	0.82296	in-situ mean
2006	22100	0.82296	in-situ mean
2007	22100	0.82296	in-situ mean
2008	22100	0.82296	in-situ mean
2009	22100	0.82296	in-situ mean
2010	22100	0.82296	in-situ mean
2011	22100	0.82296	in-situ mean
2012	22100	0.82296	in-situ mean
1979	25100	3.744232903	in-situ mean
1980	25100	3.744232903	in-situ mean
1981	25100	3.744232903	in-situ mean
1982	25100	3.744232903	in-situ mean
1983	25100	3.744232903	in-situ mean
1984	25100	3.744232903	in-situ mean
1985	25100	2.025	in-situ
1986	25100	3.744232903	in-situ mean
1987	25100	3.744232903	in-situ mean
1988	25100	3.744232903	in-situ mean
1989	25100	3.744232903	in-situ mean
1990	25100	3.744232903	in-situ mean
1991	25100	5.54355	in-situ
1992	25100	4.833257143	in-situ
1993	25100	5.225142857	in-situ
1994	25100	4.953	in-situ
1995	25100	3.744232903	in-situ mean
1996	25100	3.744232903	in-situ mean
1997	25100	3.744232903	in-situ mean
1998	25100	3.744232903	in-situ mean
1999	25100	1.6997824	in-situ
2000	25100	3.744232903	in-situ mean
2001	25100	3.744232903	in-situ mean
2002	25100	2.5908	in-situ
2003	25100	3.744232903	in-situ mean
2004	25100	1.433239467	in-situ
2005	25100	3.744232903	in-situ mean
2006	25100	3.744232903	in-situ mean
2007	25100	3.744232903	in-situ mean
2008	25100	3.744232903	in-situ mean
2009	25100	3.744232903	in-situ mean
2010	25100	3.744232903	in-situ mean
2011	25100	3.744232903	in-situ mean
2012	25100	3.744232903	in-situ mean
1979	25300	3.222415398	in-situ mean
1980	25300	3	in-situ
1981	25300	3.222415398	in-situ mean
1982	25300	3.222415398	in-situ mean
1983	25300	3.222415398	in-situ mean
1984	25300	3.222415398	in-situ mean
1985	25300	2.625	in-situ
1986	25300	2.658533333	in-situ
1987	25300	3.788228571	in-situ
1988	25300	2.88786	in-situ
1989	25300	2.703636364	in-situ
1990	25300	3.50467027	in-situ
1991	25300	3.242140541	in-situ
1992	25300	3.692566667	in-situ
1993	25300	3.753021818	in-situ
1994	25300	3.3851625	in-situ
1995	25300	3.58	in-situ
1996	25300	3.37196	in-situ
1997	25300	3.77	in-situ
1998	25300	2.877777778	in-situ
1999	25300	2.502368533	in-situ
2000	25300	3.333333333	in-situ
2001	25300	2.9135	in-situ
2002	25300	1.909666667	in-situ
2003	25300	2.554765	in-situ
2004	25300	3.2511984	in-situ
2005	25300	4.8568	in-situ
2006	25300	3.344968	in-situ
2007	25300	2.637274286	in-situ
2008	25300	2.319275	in-situ
2009	25300	3.155911111	in-situ
2010	25300	3.153309091	in-situ
2011	25300	2.667628571	in-situ
2012	25300	3.055288889	in-situ
1979	25600	1.5	in-situ mean
1980	25600	1.5	in-situ
1981	25600	1.5	in-situ mean
1982	25600	1.5	in-situ mean
1983	25600	1.5	in-situ mean
1984	25600	1.5	in-situ mean
1985	25600	1.5	in-situ mean
1986	25600	1.5	in-situ mean
1987	25600	1.5	in-situ mean
1988	25600	1.5	in-situ mean
1989	25600	1.5	in-situ mean
1990	25600	1.5	in-situ mean
1991	25600	1.5	in-situ mean
1992	25600	1.5	in-situ mean
1993	25600	1.5	in-situ mean
1994	25600	1.5	in-situ mean
1995	25600	1.5	in-situ mean
1996	25600	1.5	in-situ mean
1997	25600	1.5	in-situ mean
1998	25600	1.5	in-situ mean
1999	25600	1.5	in-situ mean
2000	25600	1.5	in-situ mean
2001	25600	1.5	in-situ mean
2002	25600	1.5	in-situ mean
2003	25600	1.5	in-situ mean
2004	25600	1.5	in-situ mean
2005	25600	1.5	in-situ mean
2006	25600	1.5	in-situ mean
