"WBIC","Year","Lake","age0cpe.mile","id"
"2329800",2004,"WILD RICE LAKE",20,"2329800 2004"
"1528300",2008,"WILLOW FLOWAGE",22.3206751054852,"1528300 2008"
"250000",2004,"WILSON LAKE",0,"250000 2004"
"2046500",2011,"WINDFALL LAKE",41.25,"2046500 2011"
"2381100",2005,"WINTER LAKE (PRICE FLOWAGE)",0,"2381100 2005"
"1179900",2006,"WISCONSIN RIVER",3.25,"1179900 2006"
"1409100",2010,"WISCONSIN RIVER FLOWAGE NUMBER 2 49",0,"1409100 2010"
"322500",2005,"WOLF RIVER POND",0,"322500 2005"
"2210900",2006,"WORCESTER LAKE",0,"2210900 2006"
"1599600",2013,"YELLOW BIRCH LAKE",0,"1599600 2013"
"2675200",2008,"YELLOW LAKE",7.08860759493671,"2675200 2008"
