id,WBIC,longitude,latitude,State,division
827,48100,-87.78,43.87,WI,6
808,48200,-87.73,43.84,WI,6
861,48300,-87.95,43.92,WI,6
925,48400,-87.85,43.97,WI,6
909,48500,-87.89,43.96,WI,6
897,48600,-87.89,43.95,WI,6
866,48700,-87.89,43.92,WI,6
956,48750,-87.85,43.99,WI,6
941,48800,-87.85,43.98,WI,6
942,48900,-87.84,43.98,WI,6
958,49100,-87.76,43.99,WI,6
581,49200,-87.9,43.54,WI,6
872,49300,-87.89,43.93,WI,6
1018,49400,-87.73,44.04,WI,6
568,49800,-87.93,43.53,WI,9
661,52200,-87.91,43.64,WI,6
692,52500,-87.94,43.68,WI,6
709,53300,-87.81,43.72,WI,6
704,54200,-87.96,43.71,WI,6
732,54600,-87.97,43.75,WI,6
763,55400,-88.03,43.79,WI,6
713,56200,-88.22,43.73,WI,6
777,56600,-87.95,43.8,WI,6
778,56700,-87.95,43.8,WI,6
896,57900,-87.94,43.95,WI,6
907,58000,-87.95,43.96,WI,6
871,58200,-87.97,43.93,WI,6
860,58400,-88,43.92,WI,6
806,58900,-88.06,43.84,WI,6
793,59300,-88.02,43.82,WI,6
792,60500,-88.17,43.82,WI,6
819,60800,-88.2,43.86,WI,6
818,60900,-88.22,43.86,WI,6
773,61200,-88.18,43.8,WI,6
801,62700,-87.86,43.83,WI,6
875,63100,-87.82,43.93,WI,6
911,63600,-87.88,43.96,WI,6
910,63700,-87.89,43.96,WI,6
938,63800,-87.87,43.98,WI,6
939,64000,-87.87,43.98,WI,6
873,64200,-87.89,43.93,WI,6
874,64300,-87.89,43.93,WI,6
855,64600,-87.91,43.91,WI,6
959,66200,-87.76,43.99,WI,6
1002,66600,-87.75,44.02,WI,6
1003,66700,-87.75,44.02,WI,6
1001,66800,-87.76,44.02,WI,6
1032,67100,-87.73,44.05,WI,6
1019,67200,-87.73,44.04,WI,6
1044,67400,-87.73,44.06,WI,6
1069,67700,-87.75,44.08,WI,6
1043,67900,-87.76,44.06,WI,6
1017,68100,-87.78,44.04,WI,6
1079,68300,-88.03,44.1,WI,6
936,68400,-87.93,43.98,WI,6
1060,68500,-87.93,44.07,WI,6
1140,68600,-88.04,44.15,WI,6
937,68700,-87.93,43.98,WI,6
906,68800,-87.97,43.96,WI,6
903,68900,-88,43.96,WI,6
904,69000,-87.99,43.96,WI,6
952,69200,-88,43.99,WI,6
985,69300,-87.89,44.01,WI,6
957,69400,-87.85,43.99,WI,6
955,69600,-87.87,43.99,WI,6
953,69800,-87.9,43.99,WI,6
954,70000,-87.9,43.99,WI,6
1100,70100,-88.03,44.12,WI,6
1101,70200,-88.03,44.12,WI,6
1091,70500,-87.81,44.11,WI,6
1135,70600,-87.8,44.14,WI,6
1080,70700,-87.78,44.1,WI,6
1081,70800,-87.78,44.1,WI,6
951,70900,-88.01,43.99,WI,6
1134,71700,-87.85,44.14,WI,6
1230,72100,-87.84,44.23,WI,6
1082,72500,-87.78,44.1,WI,6
1092,72700,-87.81,44.11,WI,6
1103,72800,-87.81,44.12,WI,6
1073,73100,-87.86,44.09,WI,6
984,74000,-87.93,44.01,WI,6
971,74200,-87.92,44,WI,6
972,74300,-87.92,44,WI,6
986,74700,-87.85,44.01,WI,6
973,74800,-87.85,44,WI,6
974,74900,-87.85,44,WI,6
1114,77300,-88.04,44.13,WI,6
1102,77500,-88.03,44.12,WI,6
1133,77600,-88.04,44.14,WI,6
924,79500,-87.99,43.97,WI,6
905,79600,-87.99,43.96,WI,6
1000,79800,-88.12,44.02,WI,6
895,80500,-88.06,43.95,WI,6
999,81200,-88.16,44.02,WI,6
1115,82700,-87.68,44.13,WI,6
1473,82900,-87.85,44.42,WI,6
1474,83000,-87.84,44.42,WI,6
1500,83100,-87.52,44.44,WI,6
1342,83200,-87.86,44.32,WI,6
1294,83300,-87.82,44.29,WI,6
1295,83400,-87.82,44.29,WI,6
1279,83500,-87.82,44.28,WI,6
1270,83600,-87.83,44.27,WI,6
1297,83700,-87.61,44.29,WI,6
1296,84600,-87.73,44.29,WI,6
1280,84700,-87.74,44.28,WI,6
1384,85000,-87.7,44.34,WI,6
1383,85200,-87.71,44.34,WI,6
1398,85300,-87.71,44.35,WI,6
1399,85400,-87.71,44.35,WI,6
1281,87900,-87.73,44.28,WI,6
1382,89000,-87.78,44.34,WI,6
1449,89800,-87.84,44.41,WI,6
1509,90600,-87.52,44.45,WI,6
1487,91400,-87.74,44.43,WI,6
1928,93600,-87.29,44.83,WI,6
1663,93800,-87.84,44.59,WI,6
1723,93900,-87.39,44.66,WI,6
1604,94200,-87.49,44.54,WI,6
1603,94300,-87.5,44.54,WI,6
1626,94500,-87.49,44.56,WI,6
1654,94700,-87.48,44.58,WI,6
1767,95700,-87.5,44.69,WI,6
1959,97300,-87.26,44.86,WI,6
2151,97900,-87.25,45,WI,6
2157,98100,-87.25,45.01,WI,6
2282,98300,-87.22,45.07,WI,6
2422,99200,-87.1,45.13,WI,6
1936,100000,-87.38,44.84,WI,6
1715,101100,-87.66,44.65,WI,6
1111,101300,-89.29,44.13,WI,5
637,101400,-89.26,43.61,WI,8
781,101500,-89.41,43.81,WI,5
1026,101600,-89.48,44.05,WI,5
770,101700,-89.36,43.8,WI,5
1097,101800,-89.43,44.12,WI,5
726,102000,-89.4,43.75,WI,5
1041,102100,-89.26,44.06,WI,5
1157,102200,-89.31,44.17,WI,5
783,102300,-89.37,43.81,WI,5
729,102500,-89.34,43.75,WI,5
734,102600,-89.6,43.76,WI,5
747,102800,-89.64,43.78,WI,5
1014,102900,-89.21,44.04,WI,5
782,103000,-89.38,43.81,WI,5
850,103100,-89.58,43.9,WI,5
833,103200,-89.58,43.88,WI,5
766,103300,-89.59,43.8,WI,5
815,103400,-89.59,43.86,WI,5
756,103600,-89.63,43.79,WI,5
708,103700,-89.08,43.72,WI,5
918,103800,-89.39,43.97,WI,5
1042,103900,-89.23,44.06,WI,5
718,104000,-89.64,43.74,WI,5
997,104100,-89.01,44.02,WI,5
772,104200,-89.35,43.8,WI,5
669,104300,-89.35,43.65,WI,5
899,104400,-89.56,43.96,WI,5
1040,104500,-89.46,44.06,WI,5
996,104600,-89.2,44.02,WI,5
919,104700,-89.38,43.97,WI,5
1049,104800,-89.44,44.07,WI,5
1138,104900,-89.32,44.15,WI,5
796,105000,-89.56,43.83,WI,5
1112,105100,-89.28,44.13,WI,5
1015,105200,-89.21,44.04,WI,5
657,105300,-89.58,43.64,WI,5
1234,105500,-88.47,44.24,WI,6
1084,105600,-89.4,44.11,WI,5
688,105700,-89.33,43.68,WI,5
1075,105800,-89.38,44.1,WI,5
994,105900,-89.29,44.02,WI,5
583,106000,-89.46,43.55,WI,8
840,106100,-89.26,43.88,WI,5
816,106200,-89.58,43.86,WI,5
882,106300,-89.27,43.94,WI,5
767,106400,-89.55,43.8,WI,5
739,106500,-89.63,43.77,WI,5
831,106600,-89.65,43.88,WI,5
771,106700,-89.36,43.8,WI,5
856,106800,-89.57,43.92,WI,5
933,106900,-89.55,43.98,WI,5
832,107000,-89.6,43.88,WI,5
1076,107100,-89.35,44.1,WI,5
768,107200,-89.55,43.8,WI,5
824,107300,-89.57,43.87,WI,5
921,107400,-89.29,43.97,WI,5
892,107500,-89.54,43.95,WI,5
582,107700,-89.47,43.55,WI,8
836,107800,-89.36,43.88,WI,5
1028,107900,-89.23,44.05,WI,5
